Curriculum,LPPS - Political Science—Public Service (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1099
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,POL 001 Amer Natl Govt,POL,001,"","","",4,,,3,-0.13489184692179698,-0.21422628951747089,601,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
2,POL 003 Internatl Relations,POL,003,"","","",4,,,2,-0.11241565452091766,-0.1276923076923077,741,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""B+"", ""A""]"
3,POL 002 Intro Comp Politics,POL,002,"","","",4,,,3,-0.014550264550264532,-0.053611111111111096,756,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
4,POL 004 Bas Cnpt/Pol Thry,POL,004,"","","",4,,,3,-0.48507389162561576,-0.5125369458128078,406,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
5,STA 013 Elementary Statistics,STA,013,"","","",4,,,3,-0.21557105775470473,-0.2641336794289422,3082,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW"", ""Y""]"
6,POL 051 Scientific Study Politic,POL,051,"","","",4,,,4,-0.14222052067381316,-0.15163859111791728,653,202201,200401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,POL 104 CA State Govt & Politics,POL,104,"","","",4,,,7,-0.1894375,-0.18006250000000001,160,202201,200207,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,POL 108 Public Sector Policy,POL,108,"","","",4,,,7,0.05328947368421053,-0.0024671052631578786,304,202110,201501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
9,POL 105 Legislative Process,POL,105,"","","",4,,,8,0.23715415019762845,0.09798418972332017,253,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
10,POL 192A Internship Pub Aff,POL,192A,"","","",6,,,9,,,173,202203,200010,"["""", ""I"", ""NP"", ""P""]"
11,POL 193 Res In Practical Pol,POL,193,10;15,"","",2,,,10,0.3260240963855422,0.1857831325301205,83,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""I"", ""P*""]"
12,POL 100 Local Govt & Politics,POL,100,"","","",4,,,6,-0.022227979274611384,-0.14145077720207253,193,202103,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""P*""]"
13,POL 109 Pub Pol & Gov Proc,POL,109,"","","",4,,,7,-0.08301886792452826,-0.1990566037735849,53,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D+"", ""F"", ""NP*"", ""P*""]"
14,POL 165 Mass Media & Politics,POL,165,"","","",4,,,7,0.49214521452145216,0.42996699669967,303,201910,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
15,POL 192B Internship Pub Aff,POL,192B,10,"","",5,,,9,,,13,202203,200010,"["""", ""P""]"
Overall Average,"","","","","","","","","","",-0.019386309897161284,-0.07554277279775076
