Curriculum,LRUS - Russian (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0402
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,RUS 006 Intermed Russian,RUS,006,11,"","",4,,,6,0.41181818181818186,0.519090909090909,11,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""P*"", ""RW""]"
2,RUS 101A Advanced Russian,RUS,101A,1,"","",4,,,4,0.42266666666666663,0.386,15,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+""]"
3,RUS 101B Advanced Russian,RUS,101B,2,"","",4,,,5,0.42058823529411765,0.41882352941176476,17,202201,200101,"[""A"", ""A-"", ""A+"", ""B-"", ""B+""]"
4,RUS 101C Advanced Russian,RUS,101C,3,"","",4,,,6,0.45789473684210524,0.4905263157894737,19,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+""]"
5,RUS 105 Adv Russian Conver,RUS,105,1,"","",4,,,6,0.5636363636363636,0.43454545454545457,22,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""P*""]"
6,RUS 143 Chekhov (in English),RUS,143,"","","",4,,,8,0.5541666666666667,0.4483333333333334,12,202201,200301,"[""A"", ""A-"", ""A+"", ""B"", ""C"", ""C+"", ""NG"", ""P*""]"
7,RUS 141 Tolstoy (In English),RUS,141,"","","",4,,,6,0.18199999999999997,0.14933333333333335,15,202010,200010,"[""A"", ""A+"", ""B+""]"
8,RUS 150 Russian Culture,RUS,150,"","","",4,,,0,0.4764285714285714,0.4853571428571429,28,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""P*""]"
9,RUS 129 Russian Film,RUS,129,"","","",4,,,8,-0.5700000000000001,-0.5928571428571427,7,202103,200201,"[""A"", ""A-"", ""B"", ""D-"", ""F""]"
10,RUS 133 Post-Soviet Literature,RUS,133,"","","",4,,,12,-0.13999999999999996,-0.036923076923076885,13,202103,201303,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""P*""]"
11,RUS 005 Intermediate Russian,RUS,005,12,"","",4,,,5,0.08500000000000005,0.19200000000000003,10,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""C+"", ""P*""]"
12,RUS 004 Intermediate Russian,RUS,004,13,"","",4,,,4,0.4106250000000001,0.758125,16,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""I"", ""NP*"", ""P*""]"
13,RUS 003 Elementary Russian,RUS,003,14,"","",5,,,3,0.48576923076923084,0.33307692307692316,26,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""NP*""]"
14,RUS 002 Elementary Russian,RUS,002,15,"","",5,,,2,0.057407407407407414,0.19370370370370368,27,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""P*""]"
15,RUS 001 Elementary Russian,RUS,001,"","","",5,,,2,0.25209302325581395,0.20837209302325582,43,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""D+"", ""F"", ""P*""]"
Overall Average,"","","","","","","","","","",0.271339605585675,0.29250050122567167
