Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,SOC 046A Intro Social Rsch,SOC,046A,"",1,"",4,,,5,0.3482089552238807,0.17191044776119407,335,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
3,SOC 056 Intro to Social Stats,SOC,056,"",2,"",5,,,0,-0.22043478260869562,-0.24233695652173912,184,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,SOC 003 Social Problems,SOC,003,"",3,"",4,,,4,0.14705490848585692,0.1469217970049917,601,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""B+"", ""A""]"
5,ANT 002 Cultural Anthropology,ANT,002,"",4,"",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
6,HIS 017B History Of The U S,HIS,017B,"",5,"",4,,,4,0.07790400000000001,0.03500800000000001,625,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,PHI 005 Critical Reasoning,PHI,005,"",6,"",4,,,5,0.16031456953642384,0.03723509933774835,604,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,SOC 100 Sociological Theory,SOC,100,"",7,"",4,,,9,0.09847953216374271,-0.035584795321637414,342,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SOC 125 Sociology of Culture,SOC,125,"",8,"",4,,,9,0.041920903954802274,-0.04819209039548021,177,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
10,SOC 132 Gender,SOC,132,"",9,"",4,,,9,0.19649315068493153,0.05841095890410962,365,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,SOC 131 The Family,SOC,131,"",10,"",4,,,8,-0.11101123595505616,-0.2919850187265917,267,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
