Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,SOC 005 Global Social Change,SOC,005,"","","",4,,,2,0.09585492227979274,0.08922279792746116,193,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
3,SOC 046A Intro Social Rsch,SOC,046A,"","","",4,,,5,0.3482089552238807,0.17191044776119407,335,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,SOC 056 Intro to Social Stats,SOC,056,"","","",5,,,0,-0.22043478260869562,-0.24233695652173912,184,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ECN 001B Princ Of Macroecon,ECN,001B,"","","",5,,,4,-0.21392365456821025,-0.27829161451814766,1598,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NC"", ""NP*"", ""P*"", ""RW""]"
6,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
7,POL 002 Intro Comp Politics,POL,002,"","","",4,,,3,-0.014550264550264532,-0.053611111111111096,756,202110,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
8,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,4,0.5959493670886076,0.5789240506329114,158,202110,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
9,SOC 100 Sociological Theory,SOC,100,"","","",4,,,9,0.09847953216374271,-0.035584795321637414,342,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,SOC 104 International Migration,SOC,104,"","","",4,,,9,0.5136923076923077,0.3863076923076923,65,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""P*""]"
11,SOC 141 Indust & Social Change,SOC,141,"","","",4,,,8,-0.13043010752688167,-0.29451612903225804,93,202110,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
12,SOC 145A Third World Dev,SOC,145A,"","","",4,,,10,0.013225806451612901,-0.1703225806451613,62,202010,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""P*""]"
13,SOC 170 Population,SOC,170,"","","",4,,,7,-0.05895522388059702,-0.22641791044776116,67,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
14,ANT 126A Anthro of Development,ANT,126A,"","","",4,,,9,0.19911111111111113,0.10833333333333335,90,202201,200110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""P*""]"
15,SOC 131 The Family,SOC,131,"","","",4,,,8,-0.11101123595505616,-0.2919850187265917,267,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
16,SOC 130 Race Relations,SOC,130,"","","",4,,,9,-0.0025563909774436095,-0.06015037593984962,266,202110,200103,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
17,SOC 118 Political Sociology,SOC,118,"","","",4,,,9,-0.18306666666666663,-0.27326666666666666,300,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
18,AAS 107A Africans in Latin Americ,AAS,107A,"","","",4,,,7,0.4545714285714286,0.3026666666666667,105,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
19,SPA 170 Intro Latin Amer Culture,SPA,170,21,"","",4,,,10,0.38157024793388433,0.2924793388429752,121,202201,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
20,SPA 172 Mexican Culture,SPA,172,21,"","",4,,,9,0.5821052631578947,0.16649122807017544,57,202101,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""I"", ""P*"", ""RW""]"
21,SPA 033 Span-Native Speakers III,SPA,033,22,"","",5,,,6,0.8022543352601156,0.7310404624277457,173,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*""]"
22,SPA 032 Span-Native Speakers II,SPA,032,23,"","",5,,,5,0.7040909090909091,0.5906060606060607,66,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F""]"
23,SPA 031 Span-Native Speakers I,SPA,031,24,"","",5,,,4,0.7682089552238806,0.8285074626865672,67,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
24,SPA 003 Elementary Spanish,SPA,003,25,"","",5,,,6,0.19397058823529412,0.14973856209150327,612,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
25,SPA 002 Elementary Spanish,SPA,002,26,"","",5,,,5,0.3114475627769572,0.24738552437223046,677,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
26,SPA 001 Elementary Spanish,SPA,001,"","","",5,,,4,0.44166666666666665,0.34927083333333336,192,202201,200010,"[""B"", ""NP*"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.2327388549057032,0.13574321726037028
