Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,SOC 003 Social Problems,SOC,003,"","","",4,,,4,0.14705490848585692,0.1469217970049917,601,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""B+"", ""A""]"
3,SOC 046A Intro Social Rsch,SOC,046A,"","","",4,,,5,0.3482089552238807,0.17191044776119407,335,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
4,SOC 056 Intro to Social Stats,SOC,056,"","","",5,,,0,-0.22043478260869562,-0.24233695652173912,184,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
5,ANT 002 Cultural Anthropology,ANT,002,"","","",5,,,3,0.3768360805860806,0.37669871794871795,2184,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*"", ""Y""]"
6,HIS 017B History Of The U S,HIS,017B,"","","",4,,,4,0.07790400000000001,0.03500800000000001,625,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
7,PHI 005 Critical Reasoning,PHI,005,"","","",4,,,5,0.16031456953642384,0.03723509933774835,604,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
8,SOC 100 Sociological Theory,SOC,100,"","","",4,,,9,0.09847953216374271,-0.035584795321637414,342,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SOC 155 Sociology of Law,SOC,155,"","","",4,,,9,0.11024896265560169,-0.012863070539419066,241,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,SOC 125 Sociology of Culture,SOC,125,"","","",4,,,9,0.041920903954802274,-0.04819209039548021,177,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
11,SOC 132 Gender,SOC,132,"","","",4,,,9,0.19649315068493153,0.05841095890410962,365,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,SOC 131 The Family,SOC,131,"","","",4,,,8,-0.11101123595505616,-0.2919850187265917,267,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
13,SOC 151 The Criminal Justice Sys,SOC,151,"","","",4,,,8,-0.37912863070539415,-0.4822821576763485,241,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
14,SOC 150 Criminology,SOC,150,"","","",4,,,9,-0.3744561403508772,-0.4150877192982456,285,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
15,SOC 120 Deviance,SOC,120,"","","",4,,,9,-0.2621604938271605,-0.35518518518518516,162,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""I"", ""NP*"", ""P*""]"
16,SOC 118 Political Sociology,SOC,118,"","","",4,,,9,-0.18306666666666663,-0.27326666666666666,300,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
17,UWP 104B Legal Writing,UWP,104B,19,"","",4,,,9,0.0036518771331058237,-0.13481228668941977,293,202201,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
18,SOC 140 Social Stratification,SOC,140,"","","",4,,,10,0.1198918918918919,-0.0005945945945946215,185,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
19,UWP 001 Academic Literacies,UWP,001,"","","",4,,,3,0.4180289855072464,0.43430917874396135,2070,202201,200510,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D"", ""D-"", ""NG"", ""B+"", ""A""]"
Overall Average,"","","","","","","","","","",0.03545633591987614,-0.04976172174855903
