Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,SOC 004 Immigration,SOC,004,"","","",4,,,2,-0.03508982035928141,-0.06107784431137722,167,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
3,SOC 005 Global Social Change,SOC,005,"","","",4,,,2,0.09585492227979274,0.08922279792746116,193,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
4,SOC 007 Race & Ethnicity,SOC,007,"","","",4,,,12,0.020382165605095544,-0.07121019108280256,157,202201,202107,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
5,SOC 046A Intro Social Rsch,SOC,046A,"","","",4,,,5,0.3482089552238807,0.17191044776119407,335,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
6,SOC 056 Intro to Social Stats,SOC,056,"","","",5,,,0,-0.22043478260869562,-0.24233695652173912,184,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
7,CHI 010 Intro Chicana/o Studies,CHI,010,"","","",4,,,4,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
8,SOC 100 Sociological Theory,SOC,100,"","","",4,,,9,0.09847953216374271,-0.035584795321637414,342,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SOC 130 Race Relations,SOC,130,"","","",4,,,9,-0.0025563909774436095,-0.06015037593984962,266,202110,200103,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
10,SOC 131 The Family,SOC,131,"","","",4,,,8,-0.11101123595505616,-0.2919850187265917,267,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,SOC 132 Gender,SOC,132,"","","",4,,,9,0.19649315068493153,0.05841095890410962,365,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,SOC 151 The Criminal Justice Sys,SOC,151,"","","",4,,,8,-0.37912863070539415,-0.4822821576763485,241,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
13,SOC 140 Social Stratification,SOC,140,"","","",4,,,10,0.1198918918918919,-0.0005945945945946215,185,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
14,SOC 125 Sociology of Culture,SOC,125,"","","",4,,,9,0.041920903954802274,-0.04819209039548021,177,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
15,SOC 104 International Migration,SOC,104,"","","",4,,,9,0.5136923076923077,0.3863076923076923,65,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""P*""]"
16,CHI 110 The Chicano Experience,CHI,110,1,"","",4,,,8,0.7093790849673203,0.47552287581699343,306,202110,200210,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""I""]"
17,CHI 130 Us Mex Bord Rel,CHI,130,"","","",4,,,7,0.6976510067114094,0.47312080536912754,298,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NG"", ""NP*"", ""P*""]"
18,CHI 182 Race & Juvenile Justice,CHI,182,7,"","",4,,,9,0.8063917525773195,0.5916494845360825,291,202110,200801,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C-"", ""C+"", ""I"", ""P*""]"
Overall Average,"","","","","","","","","","",0.20147404298990257,0.09316303634646697
