Curriculum,LSOC -  Sociology (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,45.1101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,SOC 001 Intro Sociology,SOC,001,"","","",5,,,3,0.10489451476793252,0.08622362869198315,948,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
2,SOC 046A Intro Social Rsch,SOC,046A,"",1,"",4,,,5,0.3482089552238807,0.17191044776119407,335,202105,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
3,SOC 056 Intro to Social Stats,SOC,056,"",2,"",5,,,0,-0.22043478260869562,-0.24233695652173912,184,202201,202110,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,SOC 003 Social Problems,SOC,003,"",3,"",4,,,4,0.14705490848585692,0.1469217970049917,601,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""Y"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""B+"", ""A""]"
5,PSC 001 General Psychology,PSC,001,"",4,"",4,,,2,0.5078982209350434,0.48787339677285896,2417,202201,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""D"", ""I"", ""D-"", ""B+"", ""A""]"
6,SOC 004 Immigration,SOC,004,"",5,"",4,,,2,-0.03508982035928141,-0.06107784431137722,167,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
7,CHI 010 Intro Chicana/o Studies,CHI,010,"",6,"",4,,,4,0.6215134459036898,0.6379799874921827,1599,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
8,SOC 100 Sociological Theory,SOC,100,"",7,"",4,,,9,0.09847953216374271,-0.035584795321637414,342,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
9,SOC 131 The Family,SOC,131,"",8,"",4,,,8,-0.11101123595505616,-0.2919850187265917,267,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,SOC 140 Social Stratification,SOC,140,"",9,"",4,,,10,0.1198918918918919,-0.0005945945945946215,185,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
11,SOC 185 Social Policy,SOC,185,"",10,"",4,,,9,0.16589430894308943,-0.07097560975609755,246,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
