Curriculum,LSTS - Science and Technology Studies (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,30.1501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,STS 001 Intro Science Studies,STS,001,"","","",4,,,7,0.05092592592592592,0.035648148148148144,108,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
2,"STS 032 Drugs, Science & Culture",STS,032,"","","",4,,,8,0.4558620689655172,0.3448275862068966,87,202110,200603,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""P*""]"
3,PHI 031 Scientific Reason,PHI,031,"","","",4,,,9,0.441976401179941,0.35398230088495575,678,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,STS 011 Science on Trial,STS,011,"","","",4,,,7,0.25028571428571433,0.29980952380952386,105,202110,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""P*""]"
5,"STS 100 Methods Sci, Tech & Med",STS,100,"","","",4,,,0,0.608,0.5164,25,202201,202201,"[""A"", ""B"", ""F"", ""NP*""]"
6,STS 175 Laboratory Studies Lab,STS,175,"","","",4,,,12,0.9361538461538461,0.5315384615384615,13,202103,200703,"[""A"", ""A-"", ""A+"", ""I"", ""P*""]"
7,STS 150 Gender & Science,STS,150,"","","",4,,,9,0.6688235294117648,0.6073529411764707,68,202110,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""F"", ""NP*"", ""P*""]"
8,STS 121 Medical Anthropology,STS,121,"","","",4,,,9,0.6052941176470588,0.2970588235294118,17,202105,201103,"[""A"", ""A-"", ""A+"", ""B+"", ""F"", ""P*""]"
9,STS 173 Science Fiction,STS,173,1,"","",4,,,8,0.4627777777777778,0.15166666666666667,18,202107,200803,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""F"", ""I"", ""NP*"", ""P*""]"
10,STS 114 Global Information Age,STS,114,"","","",4,,,9,0.40605263157894744,0.03500000000000007,38,202201,201903,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""F"", ""I"", ""P*""]"
11,STS 101 Intro to Data Studies,STS,101,"","","",4,,,10,0.4208988764044944,0.356629213483146,89,202110,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
12,STS 162 Surveillance Studies,STS,162,17,"","",4,,,9,0.7084,0.5804,25,202201,201710,"[""A"", ""A-"", ""A+"", ""B+"", ""I""]"
13,STS 112 Visualizing Society,STS,112,"","","",4,,,8,0.21595744680851064,0.02617021276595748,47,202110,201901,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C-"", ""F"", ""P*""]"
14,STS 180 Topics in STS,STS,180,"","","",4,,,6,0.7182142857142857,0.2192857142857143,28,202101,200503,"[""A"", ""A-"", ""A+"", ""B+"", ""I""]"
15,STS 198 Directed Group Study,STS,198,"","","",5,,,9,0.22170212765957448,0.13510638297872343,47,201703,200501,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""I"", ""P""]"
16,STS 122 Health & Med Tech,STS,122,"","","",4,,,10,0.6217105263157895,0.44526315789473686,76,202201,201801,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""NP*"", ""P*""]"
17,STS 020 Methods Science Studies,STS,020,"","","",4,,,8,0.8023333333333333,0.39566666666666667,30,202101,200410,"[""A"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.5056099181860283,0.31363563529620475
