Curriculum,LTAD - Theater and Dance (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,DRA 155 Rep Race in Performance,DRA,155,"","","",4,,,7,0.44000000000000006,0.18766666666666668,30,202101,200110,"[""A"", ""A-"", ""B"", ""B+"", ""NP*"", ""P*""]"
2,DRA 158 Performance Studies Sem,DRA,158,"","","",4,,,9,0.3769565217391304,0.18869565217391307,23,202101,200603,"[""A"", ""A-"", ""A+"", ""B+"", ""C""]"
3,DRA 126 Stage Management,DRA,126,"","","",4,,,5,0.09064516129032257,0.08677419354838711,31,202110,200401,"[""A"", ""A+"", ""B"", ""C""]"
4,DRA 120 Acting Gateway,DRA,120,15,"","",4,,,6,0.31437499999999996,0.3075,16,202110,201401,"[""A"", ""A-"", ""A+""]"
5,DRA 160A Prin of Playwriting,DRA,160A,"","","",4,,,10,0.3100000000000001,0.23826086956521744,23,202201,200301,"[""A"", ""A-"", ""B"", ""B+"", ""C-"", ""I"", ""P*""]"
6,DRA 180A Theatre Lab: Performance,DRA,180A,"","","",5,,,7,0.5666666666666667,0.6471428571428571,21,202201,201510,"[""A"", ""A+""]"
7,DRA 180C Theatre Lab: Prod Team,DRA,180C,"","","",5,,,9,0.3646153846153846,0.30615384615384617,13,202201,201510,"[""A"", ""A+"", ""RD""]"
8,DRA 180D Theatre Lab Crew,DRA,180D,"","","",4,,,7,0.341,0.25566666666666665,30,202201,201510,"[""A"", ""A-"", ""A+"", ""C""]"
9,DRA 180F Costume Lab,DRA,180F,"","","",4,,,7,0.5185000000000001,0.2835,20,202201,201510,"[""A"", ""A+"", ""B+"", ""I""]"
10,DRA 124C Thea Desgn Lighting,DRA,124C,"","","",4,,,9,0.3668181818181818,0.20818181818181822,22,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
11,DRA 127A Prin of Directing,DRA,127A,"","","",4,,,7,0.18523809523809528,-0.08285714285714282,21,202103,200010,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""P*""]"
12,DRA 143 Dance & Movement Studio,DRA,143,"","","",4,,,9,0.5642857142857143,0.3751428571428571,35,202003,200101,"[""A"", ""A-"", ""A+""]"
13,DRA 116 Design on Screen,DRA,116,"","","",4,,,9,0.12904761904761905,-0.0907142857142857,126,202101,201401,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
14,DRA 195 Senior Capstone,DRA,195,"","","",2,,,11,,,38,202201,201603,"[""NP"", ""P""]"
15,DRA 021A Fundamentals of Act,DRA,021A,"","","",4,,,4,0.5456363636363636,0.45618181818181813,55,202201,200010,"[""A"", ""A-"", ""A+"", ""B-"", ""B+"", ""C+"", ""I""]"
16,DRA 024 Vis Aspect Dram Art,DRA,024,"","","",4,,,6,0.2628888888888889,0.24955555555555556,90,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""NP*"", ""P*""]"
17,DRA 028 Stagecraft & Management,DRA,028,"","","",4,,,6,0.5057534246575343,0.4045205479452055,73,202110,201503,"[""A"", ""A-"", ""B"", ""B+"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
18,DRA 056C Hist Theatre Dance III,DRA,056C,"","","",4,,,6,0.16292682926829272,0.12585365853658537,41,202103,201503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""I"", ""NP*"", ""P*""]"
19,DRA 055 Cont Theatre Dance Perf,DRA,055,"","","",4,,,6,0.19113207547169808,0.16415094339622643,53,202101,201603,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
20,DRA 056B Hist Theatre Dance II,DRA,056B,"","","",4,,,4,-0.1433333333333333,-0.1442857142857143,42,202110,201501,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",0.304657629664528,0.2083545404000239
